"AED Name","AED Address","Detailed location of the AED installed","Location Google Map coordinate: latitude","Location Google Map coordinate: longitude","Whether the AED can be used by anyone","Person allowed to operate the AED","Person who has access to the AED","Ground level categories","Service Hour Remark","AED brand","AED model","AED remark"
"YOHO MALL I","YOHO MALL I , 9 Yuen Lung Street, Yuen Long, N.T.","L1 Members Counter",0,0,Yes,"Staff only","Staff only","Non-street level",,HeartSine,360P,
"YOHO MALL I","YOHO MALL I, 9 Long Yat Road, Yuen Long, N.T.","L2 Customer Care Centre",0,0,Yes,"Staff only","Staff only","Non-street level",,HeartSine,360P,
"YOHO MALL I","YOHO MALL I, 9 Long Yat Road, Yuen Long, N.T.","L2 YOHO MALL I",0,0,Yes,"Staff only","Staff only","Non-street level",,HeartSine,360P,
"YOHO MALL II","YOHO MALL II ,8 Long Yat Road , Yuen Long, N.T.","L2 Customer Care Centre",0,0,Yes,"Staff only","Staff only","Non-street level",,HeartSine,360P,
"Millennium City II","Millennium City 2, 378, Kwun Tong Road, Kwun Tong, Kowloon","1/F Concierge",0,0,Yes,"Trained Personnel Only","Accompanied By Staff only","Non-street level",,"HeartSine samaritan PAD",360P,
PopWalk,"12 Tong Chun St, Tseung Kwan O Popwalk","G/F Customer Care Centre",0,0,Yes,Anyone,"Accompanied By Staff only","Street level",,heartsine,"samaritan pad 360p",
Popwalk2,"19 Tong Yin St, Tseung Kwan O Popwalk2","G/F Customer Care Centre",0,0,Yes,Anyone,"Accompanied By Staff only","Street level",,heartsine,"samaritan pad 360p",
Popwalk3,"19 Chi Shin St, Tseung Kwan O Popwalk3","G/F Customer Care Centre",0,0,Yes,Anyone,"Accompanied By Staff only","Street level",,heartsine,"samaritan pad 360p",
"International Commerce Centre","International Commerce Centre (ICC), 1 Austin Road West, West Kowloon, Hong Kong","L8 Concierge",0,0,No,"Trained Personnel Only","Staff only","Non-street level",,HeartSine,"Samaritan PAD 360P",
"International Commerce Centre","International Commerce Centre (ICC), 1 Austin Road West, West Kowloon, Hong Kong","L20 Space",0,0,No,"Trained Personnel Only","Staff only","Non-street level",,HeartSine,"Samaritan PAD 360P",
"International Commerce Centre","International Commerce Centre (ICC), 1 Austin Road West, West Kowloon, Hong Kong","R1 International Commerce Centre",0,0,No,"Trained Personnel Only","Staff only","Non-street level",,HeartSine,"Samaritan PAD 360P",
"International Commerce Centre","International Commerce Centre (ICC), 1 Austin Road West, West Kowloon, Hong Kong","R2 International Commerce Centre",0,0,No,"Trained Personnel Only","Staff only","Non-street level",,HeartSine,"Samaritan PAD 360P",
"International Commerce Centre","International Commerce Centre (ICC), 1 Austin Road West, West Kowloon, Hong Kong","R3 International Commerce Centre",0,0,No,"Trained Personnel Only","Staff only","Non-street level",,HeartSine,"Samaritan PAD 360P",
"International Commerce Centre","International Commerce Centre (ICC), 1 Austin Road West, West Kowloon, Hong Kong","R4 International Commerce Centre",0,0,No,"Trained Personnel Only","Staff only","Non-street level",,HeartSine,"Samaritan PAD 360P",
"International Commerce Centre","International Commerce Centre (ICC), 1 Austin Road West, West Kowloon, Hong Kong","L3 International Commerce Centre",0,0,No,"Trained Personnel Only","Staff only","Street level",,HeartSine,"Samaritan PAD 360P",
"C-BONS International Center","C-BONS International Center, 108 Wai Yip Street, Kwun Tong, Kowloon","G/F Concierge",0,0,Yes,"Staff only","Staff only","Street level",,"HeartSine Technologies","Samaritan PAD 360P",
"Elite Centre","Elite Centre, 22 Hung To Road, Kwun Tong, Kowloon","G/F Concierge",0,0,Yes,"Staff only","Staff only","Non-street level",,HeartSine,360P,
"Hong Kong Disneyland Resort","Hong Kong Disneyland, Lantau Island, New Territories.","Guest restroom near Starliner Diner",22.3132348,114.04210118651,Yes,Anyone,Anyone,"Street level","Park Operating Days",Philips,"Heartstart FRx",
"Bouygues Travav Publics ED/2018/04 Nurse Office","Trunk Road T2 Construction, T2 Site Office (ED/2018/04), Entrance at Gate 4, 8 Kai Fuk Road (To Kwa Wan bound), Kowloon Bay, Kowloon.","G/F Inside Nurse Office",22.322160196987,114.20331615421,Yes,Anyone,Anyone,"Street level",,Philips,"HS1 (Semi-auto)",
"Kerry Centre","Kerry Centre, 683 King&amp;#39;s Road, Quarry Bay, Hong Kong","L1 Concierge",22.2905264,114.20970726931,Yes,Anyone,Anyone,"Street level",,,,
"Hong Kong Disneyland Resort","Hong Kong Disneyland, Lantau Island, New Territories.","Inspiration Lake Recreation Center, lakeside Guest restroom",22.322556412148,114.03967057336,Yes,Anyone,Anyone,"Street level","Inspiration Lake operating hours",Philips,"Heartstart FRx",
"The Hong Kong Jockey Club","Shatin Racecourse, Shatin, N.T.","Shatin Stables Security Check point – [SC]",22.403288352514224,114.20944058839113,Yes,Anyone,"Staff only","Non-street level",,Philips,"Laerdal Heart Start FR2+",
"Hong Kong Disneyland Resort","Hong Kong Disneyland, Lantau Island, New Territories.","Disney Explorers Lodge South America 1/F Guest Corridor near Rm 1565",22.3074563,114.0383338,Yes,Anyone,Anyone,"Non-street level","Hotel Operating days",Philips,"Heartstart FRx",
"TWGHs Hung Fuk Integrated Vocational Rehabilitation Centre cum Hostel","Unit 1, 2/F, Ancillary Facilities Block, Hung Fuk Estate, Hung Shui Kiu, New Territories","Hostel Nurse Room",22.437611,113.998865,Yes,Anyone,"Staff only","Non-street level",,"Cardiac Science",G3,
"Hong Kong Disneyland Resort","Hong Kong Disneyland, Lantau Island, New Territories.","Disney Explorers Lodge Asia 1/F Guest Corridor near Rm 1267",22.3074563,114.0383338,Yes,Anyone,Anyone,"Non-street level","Hotel Operating days",Philips,"Heartstart FRx",
"TWGHs Lee See Ping Home for the Elderly","4/F, Chin Hing House, Hing Wah Estate (II), Chaiwan, Hong Kong","Nurse Station",22.2622542,114.2330361,Yes,"Trained Personnel Only","Staff only","Non-street level",,Philips,HS1,只限為院友進行急救時使用
"Olympian City 2","18 Hoi Ting Road,","Concierge, UG/F",22.3170481836,114.16209636113,Yes,"Staff only","Staff only","Non-street level",,"Cardiac Science","G3 Elite (Fullu-auto)",
"TWGHs YO Centre","Rm 2703-04, Nam Wo Hong Building, 148 Wing Lok Street, Sheung Wan, H.K.","Fitness Area",22.2871069,114.149339,Yes,"Trained Personnel Only","Staff only","Non-street level",,"Cardiac Science",G5,
"Hong Kong Disneyland Resort","Hong Kong Disneyland, Lantau Island, New Territories.","Disney Explorers Lodge, Rain Drop Pool near Locker Area",22.30666581444,114.03829650608,Yes,Anyone,Anyone,"Street level","Hotel Operating days",Philips,"Heartstart FRx",
"Hong Kong Disneyland Resort","Hong Kong Disneyland, Lantau Island, New Territories.","Hong Kong Disneyland Hotel Level 6 West Wing near Rm6111",22.307415005937,114.04368005026,Yes,Anyone,Anyone,"Non-street level","Hotel Operating days",Philips,"Heartstart FRx",
"Hong Kong Disneyland Resort","Hong Kong Disneyland, Lantau Island, New Territories.","Hong Kong Disneyland Hotel Level 6 East Wing near Rm6070",22.307807078296,114.04460541237,Yes,Anyone,Anyone,"Non-street level","Hotel Operating days",Philips,"Heartstart FRx",
"Hong Kong Disneyland Resort","Hong Kong Disneyland, Lantau Island, New Territories.","Hong Kong Disneyland Hotel Level 3 West Wing opposite to Rm3113",22.307722708387,114.04464028109,Yes,Anyone,Anyone,"Non-street level","Hotel Operating days",Philips,"Heartstart FRx",
"Hong Kong Disneyland Resort","Hong Kong Disneyland, Lantau Island, New Territories.","Hong Kong Disneyland Hotel Level 3 Hotel Lobby near Front Desk",22.308281037716,114.04399386872,Yes,Anyone,Anyone,"Non-street level","Hotel Operating days",Philips,"Heartstart FRx",
"Hong Kong Disneyland Resort","Hong Kong Disneyland, Lantau Island, New Territories.","Disneyland Hollywood Hotel 8/F West Wing opposite to Rm8721",22.309132408252,114.03619137896,Yes,Anyone,Anyone,"Non-street level","Hotel Operating days",Philips,"Heartstart FRx",
"Hong Kong Disneyland Resort","Hong Kong Disneyland, Lantau Island, New Territories.","Disneyland Hollywood Hotel 8/F East Wing opposite to Rm8651",22.308492194338,114.03724280489,Yes,Anyone,Anyone,"Non-street level","Hotel Operating days",Philips,"Heartstart FRx",
"Hong Kong Disneyland Resort","Hong Kong Disneyland, Lantau Island, New Territories.","Disneyland Hollywood Hotel 5/F West Wing opposite to Rm5721",22.309132408252,114.03626111639,Yes,Anyone,Anyone,"Non-street level","Hotel Operating days",Philips,"Heartstart FRx",
"Hong Kong Disneyland Resort","Hong Kong Disneyland, Lantau Island, New Territories.","Disneyland Hollywood Hotel 1/F West Wing outside Restroom near phone desk",22.309107593814,114.03621283663,Yes,Anyone,Anyone,"Non-street level","Hotel Operating days",Philips,"Heartstart FRx",
"Hong Kong Disneyland Resort","Hong Kong Disneyland, Lantau Island, New Territories.","Disneyland Hollywood Hotel 1/F Pool outside Changing Room",22.308341,114.0363436,Yes,Anyone,Anyone,"Non-street level","Hotel Operating days",Philips,"Heartstart FRx",
"Hong Kong Disneyland Resort","Hong Kong Disneyland, Lantau Island, New Territories.","Disneyland Hollywood Hotel Lobby near ATM",22.308750265416,114.03751639021,Yes,Anyone,Anyone,"Street level","Hotel Operating days",Philips,"Heartstart FRx",
"Hong Kong Disneyland Resort","Hong Kong Disneyland, Lantau Island, New Territories.","Guest restroom next to Slinky Dog Spin",22.3104913,114.039711,Yes,Anyone,Anyone,"Street level","Park Operating Days",Philips,"Heartstart FRx",
"Hong Kong Disneyland Resort","Hong Kong Disneyland, Lantau Island, New Territories.","Tarzan Island Dock in Cabinet next to the Load Gate (Held by Cast Member)",22.311084022139,114.04211260926,Yes,Anyone,"Accompanied By Staff only","Street level","Park Operating Days",Philips,"Heartstart FRx",
"Hong Kong Disneyland Resort","Hong Kong Disneyland, Lantau Island, New Territories.","Guest restroom at Riverview Café",22.3114609,114.0409975,Yes,Anyone,Anyone,"Street level","Park Operating Days",Philips,"Heartstart FRx",
"Hong Kong Disneyland Resort","Hong Kong Disneyland, Lantau Island, New Territories.","Guest restroom next to Professor Porter’s Trading Post",22.3117562,114.0421981,Yes,Anyone,Anyone,"Street level","Park Operating Days



乐园开放的日子",Philips,"Heartstart FRx",
"Hong Kong Disneyland Resort","Hong Kong Disneyland, Lantau Island, New Territories.","Guest restroom next to Mickey’s PhilharMagic entrance",22.3120949,114.0404702,Yes,Anyone,Anyone,"Street level","Park Operating Days",Philips,"Heartstart FRx",
"Hong Kong Disneyland Resort","Hong Kong Disneyland, Lantau Island, New Territories.","Guest restroom near Clopin’s Festival of Foods",22.3132705,114.040521,Yes,Anyone,Anyone,"Street level","Park Operating Days",Philips,"Heartstart FRx",
"Hong Kong Disneyland Resort","Hong Kong Disneyland, Lantau Island, New Territories.","Guest restroom at Disney’s Storybook Theater",22.3139869,114.0397682,Yes,Anyone,Anyone,"Street level","Park Operating Days",Philips,"Heartstart FRx",
"Hong Kong Disneyland Resort","Hong Kong Disneyland, Lantau Island, New Territories.","Guest restroom next to Iron Man Experience",22.3143775,114.0427198,Yes,Anyone,Anyone,"Street level","Park Operating Days",Philips,"Heartstart FRx",
"Hong Kong Disneyland Resort","Hong Kong Disneyland, Lantau Island, New Territories.","Inspiration Lake Recreation Centre, Boat Center Guest restroom (near 7-11 convenience store)",22.319779916165,114.03740947116,Yes,Anyone,Anyone,"Street level","Inspiration Lake operating hours",Philips,"Heartstart FRx",
"Hong Kong Disneyland Resort","Hong Kong Disneyland, Lantau Island, New Territories.","Hong Kong Disneyland, Guest restroom near City Hall",22.312656427724,114.04373612125,Yes,Anyone,Anyone,"Street level","Park Operating Days",Philips,"Heartstart FRx",
"Hong Kong Disneyland Resort","Hong Kong Disneyland, Lantau Island, New Territories.","Guest restroom near The Explorer&#039;s Club Restaurant",22.3100051,114.0404644,Yes,Anyone,Anyone,"Street level","Park Operating Days",Philips,"Heartstart FRx",
"Hong Kong Disneyland Resort","Hong Kong Disneyland, Lantau Island, New Territories.","Guest restroom near Lucky Nugget Saloon",22.3099291,114.0416909,Yes,Anyone,Anyone,"Street level","Park Operating Days",Philips,"Heartstart FRx",
"Wan Chai Station","Wan Chai Station","Concourse (near Value Adding Machine)",22.2775412,114.1731527,Yes,"Staff only","Accompanied By Staff only","Non-street level",,"Physio Control","Lifepak CR Plus",
"North Point Station","North Point Station","Platform 3 (near the 4th Car)",22.291293036517,114.20049071732,Yes,"Staff only","Accompanied By Staff only","Non-street level",,,,
"Wan Chai Station","Wan Chai Station","Platform 1 (near the 3rd Car)",22.2775412,114.1731527,Yes,"Staff only","Accompanied By Staff only","Non-street level",,"Physio Control","Lifepak CR Plus",
"Wan Chai Station","Wan Chai Station","Platform 2 (near the 6th Car)",22.2775412,114.1731527,Yes,"Staff only","Accompanied By Staff only","Non-street level",,"Physio Control","Lifepak CR Plus",
"MA KAM MING MA CHEUNG FOOK SIEN DAY CARE CENTRE FOR THE ELDERLY","G/F, 376 SHA TSUI ROAD, SHEUNG CHUI COURT, TSUEN WAN,NT","NURSE STATION",22.367332082449,114.12034116075,Yes,Anyone,Anyone,"Street level",,Philips,"HS1 (Semi-auto)",
"Sheung Wan Station","Sheung Wan Station","Customer Service Centre ( Near Exit E Paid Area)",22.286276915265443,114.15355654285443,Yes,"Staff only","Accompanied By Staff only","Non-street level",,"Physio Control","Lifepak CR Plus",
"Sheung Wan Station","Sheung Wan Station","Platform 2 (near the 5th Car)",22.286574736894,114.15187178032,Yes,"Staff only","Accompanied By Staff only","Non-street level",,"Physio Control","Lifepak CR Plus",
"Sheung Wan Station","Sheung Wan Station","Platform 1 (near the 4th Car)",22.28657845966,114.15187312143,Yes,"Staff only","Accompanied By Staff only","Non-street level",,"Physio Control","Lifepak CR Plus",
"PO LEUNG KUK TUNG CHUNG HOME FOR THE ELDERLY","3/F TO 5/F, TUNG CHUNG MUNICIPAL BUILDING, 39 MAN TUNG ROAD, TUNG CHUNG.","5/F NURSING STATION",22.290848530192,113.94345099958,Yes,"Trained Personnel Only",Anyone,"Non-street level",,Physio-control,"Lifepak CR Plus (Fully-auto)",
"Sheung Wan Station","Sheung Wan Station","Customer Service Centre ( Near Exit A Paid Area)",22.28637246644037,114.15215341226389,Yes,"Staff only","Accompanied By Staff only","Non-street level",,"Physio Control","Lifepak CR Plus",
"Sai Ying Poon Station","Sai Ying Poon Station","Concourse (near Customer Service Centre)",22.285533,114.142733,Yes,"Staff only","Accompanied By Staff only","Non-street level",,"Physio Control","Lifepak CR Plus",
"PO LEUNG KUK TIAN TECK PROACTIVE CONCERN CENTRE FOR THE ELDERLY","PODIUM LEVEL 1, 8 BELCHER&amp;#39;S STREET, WESTERN, HONG KONG",OFFICE,22.285755795801,114.13284330675,Yes,"Trained Personnel Only","Staff only","Non-street level",,Physio-control,"Lifepak CR Plus ( Fully-auto)",
"Sai Ying Poon Station","Sai Ying Poon Station","Platform (near Lift)",22.285533,114.142733,Yes,"Staff only","Accompanied By Staff only","Non-street level",,"Physio Control","Lifepak CR Plus",
"HKU Station","HKU Station","Concourse (near Customer Service Centre)",22.283984,114.135042,Yes,"Staff only","Accompanied By Staff only","Non-street level",,"Physio Control","Lifepak CR Plus",
"HKU Station","HKU Station","Platform 1 (near the 4th Car)",22.283984,114.135042,Yes,"Staff only","Accompanied By Staff only","Non-street level",,"Physio Control","Lifepak CR Plus",
"PO LEUNG KUK CHONG KEE TING PRIMARY SCHOOL","PO LEUNG KUK CHONG KEE TING PRIMARY SCHOOL, YIU ON ESTATE, MA ON SHAN, SHA TIN","1/F, MEDICAL ROOM, PO LEUNG KUK CHONG KEE TING PRIMARY SCHOOL",22.41972099474,114.23179565952,Yes,Anyone,Anyone,"Non-street level",,Physio-control,"Lifepak CR Plus (Fully-auto)",
"Kennedy Town Station","Kennedy Town Station","Concourse (near Customer Service Centre)",22.2812467,114.1288825,Yes,"Staff only","Accompanied By Staff only","Non-street level",,"Physio Control","Lifepak CR Plus",
"Kennedy Town Station","Kennedy Town Station","Platform 2 (near the 4th Car)",22.2812467,114.1288825,Yes,"Staff only","Accompanied By Staff only","Non-street level",,"Physio Control","Lifepak CR Plus",
"Hong Kong Disneyland Resort","Hong Kong Disneyland, Lantau Island, New Territories.","Guest restroom near Space Traders",22.314090179684,114.04157146693,Yes,Anyone,Anyone,"Street level","Park Operating Days",Philips,"Heartstart FRx",
"Kennedy Town Station","Kennedy Town Station","Platform 1 (near the 4th Car)",22.2812467,114.1288825,Yes,"Staff only","Accompanied By Staff only","Non-street level",,"Physio Control","Lifepak CR Plus",
"Asia World Expo Station","Asia World Expo Station","Platform 1 (near Platform Supervision Booth)",22.3208341,113.9418389,Yes,"Staff only","Accompanied By Staff only","Street level",,"Physio Control","Lifepak CR Plus",
"Yangtzekiang Garment Ltd Building","G/F., 22 Tai Yau Street, Sanpokong, Kowloon.",Reception,22.337610787459,114.19805379324,Yes,Anyone,Anyone,"Street level",,Physio-control,"Lifepak CR Plus",
"Airport Station","Airport Station","Platform 1 (near Customer Service Centre)",22.3158675,113.9365616,Yes,"Staff only","Accompanied By Staff only","Street level",,"Physio Control","Lifepak CR Plus",
"Tung Chung Station","Tung Chung Station","Concourse (near Customer Service Centre)",22.289255,113.9414358,Yes,"Staff only","Accompanied By Staff only","Street level",,"Physio Control","Lifepak CR Plus",
"Tung Chung Station","Tung Chung Station","Platform (near Platform Supervision Booth)",22.289255,113.9414358,Yes,"Staff only","Accompanied By Staff only","Non-street level",,"Physio Control","Lifepak CR Plus",
"Tsing Yi Station","Tsing Yi Station","Airport Express Line Platform 2 Customer Service Centre at paid area",22.3584978,114.107672,Yes,"Staff only","Accompanied By Staff only","Non-street level",,"Physio Control","Lifepak CR Plus",
"PO LEUNG KUK LO KIT SING (1983) COLLEGE","CHEUNG HONG ESTATE, TSING YI, N.T.","MEDICAL ROOM, G/F OLD WING",22.349263233381,114.10330277546,Yes,"Trained Personnel Only","Accompanied By Staff only","Street level",,Physio-control,"Lifepak CR Plus (Fully-auto)",
"Tsing Yi Station","Tsing Yi Station","Airport Express Line Platform 1 Customer Service Centre at paid area",22.3584978,114.107672,Yes,"Staff only","Accompanied By Staff only","Non-street level",,"Physio Control","Lifepak CR Plus",
"Tsing Yi Station","Tsing Yi Station","Tung Chung Line Platform 3 (near the 4th Car)",22.3584978,114.107672,Yes,"Staff only","Accompanied By Staff only","Street level",,"Physio Control","Lifepak CR Plus",
"Tsing Yi Station","Tsing Yi Station","Tung Chung Line Platform 4 (near the 6th Car)",22.3584978,114.107672,Yes,"Staff only","Accompanied By Staff only","Street level",,"Physio Control","Lifepak CR Plus",
"Tsing Yi Station","Tsing Yi Station","Tung Chung Line U1 Concourse (near CUC at paid area)",22.3584978,114.107672,Yes,"Staff only","Accompanied By Staff only","Street level",,"Physio Control","Lifepak CR Plus",
"PO LEUNG KUK 82 KIN KENG CENTRE","G/F, Hin Pui House, Hin Keng Estate, Shatin, N.T.","G/F, Nursing room, Emergency trolly",22.365134804586,114.17480553621,Yes,"Trained Personnel Only","Staff only","Street level",,Defibtech,"Lifeline AED Pro",
"Disneyland Resort Station","Disneyland Resort Station","Concourse (near Entry Gates)",22.3153543,114.0451876,Yes,"Staff only","Accompanied By Staff only","Street level",,"Physio Control","Lifepak CR Plus",
"Sunny Bay Station","Sunny Bay Station","Concourse (near Customer Service Centre)",22.331731,114.0289607,Yes,"Staff only","Accompanied By Staff only","Street level",,"Physio Control","Lifepak CR Plus",
"Sunny Bay Station","Sunny Bay Station","Platform 3 (near the 3th Car)",22.331731,114.0289607,Yes,"Staff only","Accompanied By Staff only","Street level",,"Physio Control","Lifepak CR Plus",
"Olympics Station","Olympics Station","Platform 2 (near the 5th Car)",22.3178432,114.1601357,Yes,"Staff only","Accompanied By Staff only","Non-street level",,"Physio Control","Lifepak CR Plus",
"Olympics Station","Olympics Station","Platform 1 (near the 4th Car)",22.3178432,114.1601357,Yes,"Staff only","Accompanied By Staff only","Non-street level",,"Physio Control","Lifepak CR Plus",
"Olympics Station","Olympics Station","Concourse (near Customer Service Centre)",22.3178432,114.1601357,Yes,"Staff only","Accompanied By Staff only","Street level",,"Physio Control","Lifepak CR Plus",
"PO LEUNG KUK 82 KIN KENG CENTRE","G/F, Hin Pui House, Hin Keng Estate, Shatin, N.T.","1/F, Hall, inside cabinet",22.365149687269,114.17475457424,Yes,"Trained Personnel Only","Staff only","Non-street level",,Defibtech,"Lifeline AED (Semi-auto)",
"Kowloon Station","Kowloon Station","Airport Express Line Platform 2 (near Foreign Exchange)",22.304306,114.161475,Yes,"Staff only","Accompanied By Staff only","Non-street level",,"Physio Control","Lifepak CR Plus",
"Kowloon Station","Kowloon Station","Tung Chung Line Concourse (near Ticket Machine)",22.304306,114.161475,Yes,"Staff only","Accompanied By Staff only","Street level",,"Physio Control","Lifepak CR Plus",
"Kowloon Station","Kowloon Station","In-Town Check In (near Exit E5)",22.304306,114.161475,Yes,"Staff only","Accompanied By Staff only","Street level",,"Physio Control","Lifepak CR Plus",
"Kowloon Station","Kowloon Station","Tung Chung Line Platform 3 (near Platform Supervision Booth)",22.304306,114.161475,Yes,"Staff only","Accompanied By Staff only","Non-street level",,"Physio Control","Lifepak CR Plus",
"PO LEUNG KUK WONG YAU CHEUNG MEMORIAL NEIGHBOURHOOD ELDERLY CENTRE","UNIT 109-116, G/F, YAN LAM HOUSE TSUI LAM ESTATE TSEUNG KWAN O NEW TERRITORIES","NEXT TO THE REGISTRATION DESK IN THE CENTER LOBBY OFFICE",22.323712160353,114.24802930134,Yes,"Staff only","Staff only","Street level",,Physio-control,"Lifepak CR Plus (Fully -auto)",
"Kowloon Station","Kowloon Station","Airport Express Line Platform 1 (near ticket machine)",22.304306,114.161475,Yes,"Staff only","Accompanied By Staff only","Non-street level",,"Physio Control","Lifepak CR Plus",
"Hong Kong Station","Hong Kong Station","大堂(near Exit C)",22.284679789432,114.15817938161,Yes,"Staff only","Accompanied By Staff only","Non-street level",,"Physio Control","Lifepak CR Plus",
"Hong Kong Disneyland Resort","Hong Kong Disneyland, Lantau Island, New Territories.","Hyperspace Mountain Load/Unload Area (held by PO)",22.313981,114.0411745,Yes,Anyone,"Accompanied By Staff only","Street level","Park Operating Days",Philips,"Heartstart FRx",
"Hong Kong Station","Hong Kong Station","In-Town Check In Customer Service Centre",22.284674825676,114.1581740172,Yes,"Staff only","Accompanied By Staff only","Street level",,"Physio Control","Lifepak CR Plus",
"Hong Kong Station","Hong Kong Station","Tung Chung Line Platform (near Platform Supervision Booth)",22.284679789432,114.15818072272,Yes,"Staff only","Accompanied By Staff only","Non-street level",,"Physio Control","Lifepak CR Plus",
"Hong Kong Station","Hong Kong Station","Airport Express Concourse (near Station Control Room)",22.284678548493,114.15817938161,Yes,"Staff only","Accompanied By Staff only","Non-street level",,"Physio Control","Lifepak CR Plus",
"10 Knutsford","Tsimshatsui, Kowloon.","G/F information Centre",22.3013607,114.1739859,Yes,"Trained Personnel Only","Accompanied By Staff only","Street level",,"Heart Guardian","HR 501",
iPlace,"303 Castle Peak Rd, Kwai Chung, New Territories.","G/F information Centre",22.360003241652,114.1350682779,Yes,"Trained Personnel Only","Accompanied By Staff only","Street level",,"Heart Guardian","HR 501",
Warrenwoods,"23 Warren St, Causeway Bay, Hong Kong.","5/F information centre",22.278161,114.191637,Yes,"Trained Personnel Only","Accompanied By Staff only","Non-street level",,"Heart Guardian","HR 501",
"Park Haven","38 Haven St, Causeway Bay, Hong Kong.","1/F information centre,",22.2775121,114.1874278,Yes,"Trained Personnel Only","Accompanied By Staff only","Non-street level",,"Heart Guardian","HR 501",
Midtown,"1 Tang Lung St, Causeway Bay, Hong Kong.","G/F information Centre",22.278949,114.18217,Yes,"Trained Personnel Only","Accompanied By Staff only","Street level",,"Heart Guardian","HR 501",
"Auxiliary Medical Service Headquarters","81 Princess Margaret Road, Homantin","Hall, 6/F",22.3169486,114.1791,Yes,Anyone,Anyone,"Non-street level",,"Cardiac Science","Powerheart G3",
"Airport Authority Hong Kong","Hong Kong International Airport, Lantau, Hong Kong","Customer Services Centre, Near Taxi Station, Arrivals Level (L3), Terminal 1",22.31694524233752,113.9365481599243,Yes,Anyone,Anyone,"Non-street level",,"Cardiac Science",G3,
"Causeway Bay Station","Causeway Bay Station","Concourse (near Exit E Station Control Room)",22.28037966390854,114.18504746441803,Yes,"Staff only","Accompanied By Staff only","Non-street level",,"Physio Control","Lifepak CR Plus",
"Causeway Bay Station","Causeway Bay Station","Platform 1 (near the 3rd Car)",22.2803747,114.1850421,Yes,"Staff only","Accompanied By Staff only","Non-street level",,"Physio Control","Lifepak CR Plus",
"Causeway Bay Station","Causeway Bay Station","Platform 2 (near the 3rd Car)",22.2803747,114.1850421,Yes,"Staff only","Accompanied By Staff only","Non-street level",,"Physio Control","Lifepak CR Plus",
"PO LEUNG KUK BMCPC LIFE EDUCATION AND ELDERLY SUPPORT CENTRE COMMUNITY CARE SERVICE","UNIT5.,G/F,HON PAK HOUSE,WAN HON ESTATE,KWUN TONG,KOWLOON",OFFICE,22.3176809,114.2241026,Yes,"Trained Personnel Only","Staff only","Street level",,Physio-Control,"Lifepak CR Plus (Fully Auto)",
"Causeway Bay Station","Causeway Bay Station","Entrance B/C (near Customer Service Centre)",22.280320096994327,114.18285878186188,Yes,"Staff only","Accompanied By Staff only","Non-street level",,"Physio Control","Lifepak CR Plus",
"Causeway Bay Station","Causeway Bay Station","Concourse (near Exit A)",22.27855541565076,114.18254228119812,Yes,"Staff only","Accompanied By Staff only","Non-street level",,"Physio Control","Lifepak CR Plus",
"Tin Hau Station","Tin Hau Station","Concourse (near Customer Service Centre)",22.2824215,114.1917258,Yes,"Staff only","Accompanied By Staff only","Non-street level",,"Physio Control","Lifepak CR Plus",
"Tin Hau Station","Tin Hau Station","Platform 2 (near the 3rd Car)",22.2824215,114.1917258,Yes,"Staff only","Accompanied By Staff only","Non-street level",,"Physio Control","Lifepak CR Plus",
"ECO-HOME FOR THE SENIOR CUM SUNNY GREEN DAY CARE CENTRE FOR THE SENIOR","PODIUM LEVEL (PART) AND 2/F, FU YUEN HOUSE, FU CHEONG  ESTATE, SHAM SHUI PO, KOWLOON.","NURSE STATION",22.327210502711,114.15524178406,Yes,"Staff only","Staff only","Non-street level",,"Physio-control Lifepak","CR Plus (Fully-auto)",
"Fortress Hill Station","Fortress Hill Station",Concourse,22.288012409376,114.19356583922,Yes,"Staff only","Accompanied By Staff only","Non-street level",,"Physio Control","Lifepak CR Plus",
"DCH Finest","Shop Unit F21  Level 1 Luk Yeung Galleria Tsuen Wan","Shop Unit F21  Level 1 Luk Yeung Galleria Tsuen Wan",22.372763982946,114.11965921419,Yes,Anyone,Anyone,"Non-street level",,,,
"Fortress Hill Station","Fortress Hill Station","Platform 2 (near the 4th Car)",22.288006204829,114.19356315701,Yes,"Staff only","Accompanied By Staff only","Non-street level",,"Physio Control","Lifepak CR Plus",
"Fortress Hill Station","Fortress Hill Station","Platform 1 (near the 5th Car)",22.287997219733,114.19356391253,Yes,"Staff only","Accompanied By Staff only","Non-street level",,,,
"North Point Station","North Point Station","Concourse (near Kee Wah Kiosk)",22.2912707,114.2004947,Yes,"Staff only","Accompanied By Staff only","Non-street level",,"Physio Control","Lifepak CR Plus",
"North Point Station","North Point Station","Platform 2 (near the 4th Car)",22.2912707,114.2004947,Yes,"Staff only","Accompanied By Staff only","Non-street level",,"Physio Control","Lifepak CR Plus",
"North Point Station","North Point Station","Platform 1 (near the 4th Car)",22.2912707,114.2004947,Yes,"Staff only","Accompanied By Staff only","Non-street level",,"Physio Control","Lifepak CR Plus",
"Quarry Bay Station","Quarry Bay Station","Concourse (near Exit A/B Wide Gate)",22.2878881,114.2097482,Yes,"Staff only","Accompanied By Staff only","Street level",,"Physio Control","Lifepak CR Plus",
